Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
747.1839071,1020.333907,2.878346323,5.427958308,7644.6,2655.9,489.3,1013.184155
747.1839071,1020.333907,2.874716312,5.481049563,8106.7,2820,514.5,1014.933732
747.1839071,1020.333907,2.859259751,5.599627907,8605.8,3009.8,537.5,1022.273539
747.1839071,1020.333907,2.739488499,5.513479957,8515.7,3108.5,563.8,1074.741107
747.1839071,1020.333907,2.818513485,5.556041335,7880,2795.8,503.2,1040.874187
747.1839071,1020.333907,2.775556825,5.425852147,6804,2451.4,451.8,1059.561818
747.1839071,1020.333907,2.866538229,5.528822055,7588.3,2647.2,478.8,1018.838848
747.1839071,1020.333907,2.895048382,5.429753657,8167.8,2821.3,519.6,1004.997909
747.1839071,1020.333907,2.876018727,5.422151185,8293,2883.5,531.8,1014.307169
747.1839071,1020.333907,2.911419069,5.381861575,7878.3,2706,502.8,996.7402778
756.9985475,1030.148547,2.85164443,5.423764145,5193.7,1821.3,335.8,1025.828024
756.9985475,1030.148547,2.816760507,5.609701072,5603.1,1989.2,354.6,1041.653228
756.9985475,1030.148547,2.794918509,5.611771208,5676.2,2030.9,361.9,1051.2363
756.9985475,1030.148547,2.78322898,5.551142006,6223.3,2236,402.8,1056.279931
756.9985475,1030.148547,2.783699202,5.64609475,6137.5,2204.8,390.5,1056.078082
756.9985475,1030.148547,2.783723907,5.665829847,5654.3,2031.2,358.5,1056.067474
756.9985475,1030.148547,2.837012754,5.49943662,5538.7,1952.3,355,1032.552278
756.9985475,1030.148547,2.846875151,5.403238443,5889.9,2068.9,382.9,1028.034593
756.9985475,1030.148547,2.831207692,5.493398006,5771.7,2038.6,371.1,1035.184227
756.9985475,1030.148547,2.854788769,5.378210556,5439.8,1905.5,354.3,1024.365118
807.3801884,1080.530188,2.701728874,5.719963031,8360.5,3094.5,541,1090.31671
807.3801884,1080.530188,2.70578944,5.795254997,8393.9,3102.2,535.3,1088.652293
807.3801884,1080.530188,2.66420621,5.905552673,9095.6,3414,578.1,1105.632311
807.3801884,1080.530188,2.660830521,5.72137931,8829.7,3318.4,580,1107.007153
807.3801884,1080.530188,2.68430412,5.772612822,8000.3,2980.4,516.3,1097.440142
807.3801884,1080.530188,2.739086837,5.698666667,8194.8,2991.8,525,1074.908196
807.3801884,1080.530188,2.751953491,5.662654867,8804.6,3199.4,565,1069.536482
807.3801884,1080.530188,2.739509892,5.732063379,8820.4,3219.7,561.7,1074.732206
807.3801884,1080.530188,2.720209472,5.682575332,8259.1,3036.2,534.3,1082.723565
807.3801884,1080.530188,2.719987462,5.680118694,7809.9,2871.3,505.5,1082.815084
851.9523334,1125.102333,2.677488499,5.818403042,10243,3825.6,657.5,1100.220208
851.9523334,1125.102333,2.637180238,5.840057021,10804,4096.8,701.5,1116.642466
851.9523334,1125.102333,2.611731306,5.867306606,10855.4,4156.4,708.4,1127.041489
851.9523334,1125.102333,2.594111795,5.938498724,11472.2,4422.4,744.7,1134.277965
851.9523334,1125.102333,2.594864479,5.920780545,10550.2,4065.8,686.7,1133.968039
851.9523334,1125.102333,2.634877858,5.849974572,9092.7,3450.9,589.9,1117.581443
851.9523334,1125.102333,2.632772856,5.83966042,9598.3,3645.7,624.3,1118.440172
851.9523334,1125.102333,2.656536178,5.872931442,10559.2,3974.8,676.8,1108.756048
851.9523334,1125.102333,2.620458299,5.960929088,10154.8,3875.2,650.1,1123.469683
851.9523334,1125.102333,2.631089424,5.92918798,9759.5,3709.3,625.6,1119.127107
895.3088745,1168.458874,2.623785072,6.168552036,5723,2181.2,353.6,1122.109862
895.3088745,1168.458874,2.548335166,6.006603774,6490.1,2546.8,424,1153.300993
895.3088745,1168.458874,2.56162608,5.858260469,6521.9,2546,434.6,1147.738403
895.3088745,1168.458874,2.564884593,5.997397066,6500.7,2534.5,422.6,1146.37999
895.3088745,1168.458874,2.458764432,6.008108108,6559,2667.6,444,1191.938733
895.3088745,1168.458874,2.446420306,6.05418029,6342.1,2592.4,428.2,1197.450913
895.3088745,1168.458874,2.503559089,5.930140706,6014.3,2402.3,405.1,1172.339466
895.3088745,1168.458874,2.529152598,5.880387409,6142.3,2428.6,413,1161.397058
895.3088745,1168.458874,2.577311486,5.836926606,6559,2544.9,436,1141.217276
895.3088745,1168.458874,2.571855027,6.012195122,6720,2612.9,434.6,1143.480776
927.3755732,1200.525573,2.43110384,6.181697613,9065.1,3728.8,603.2,1204.362299
927.3755732,1200.525573,2.423264759,6.236231655,9576.5,3951.9,633.7,1207.93139
927.3755732,1200.525573,2.441517147,6.103034037,9675,3962.7,649.3,1199.654604
927.3755732,1200.525573,2.42405402,6.038621326,9513.2,3924.5,649.9,1207.571051
927.3755732,1200.525573,2.446540881,6.048768225,8830.3,3609.3,596.7,1197.396824
927.3755732,1200.525573,2.477710495,6.022173355,8142.5,3286.3,545.7,1183.574681
927.3755732,1200.525573,2.47917958,6.008803115,8799.6,3549.4,590.7,1182.930826
927.3755732,1200.525573,2.439416485,6.060225443,9180.5,3763.4,621,1200.601252
927.3755732,1200.525573,2.441507445,6.20726321,9264.3,3794.5,611.3,1199.658973
927.3755732,1200.525573,2.448238737,6.160544218,8868.5,3622.4,588,1196.635707
987.4153495,1260.56535,2.282527963,6.274341193,10325.7,4523.8,721,1276.082347
987.4153495,1260.56535,2.309053498,6.170993228,10099.8,4374,708.8,1262.61038
987.4153495,1260.56535,2.262420354,6.240912818,10332.7,4567.1,731.8,1286.500803
987.4153495,1260.56535,2.28526076,6.104142012,9429.9,4126.4,676,1274.680205
987.4153495,1260.56535,2.313414802,6.196188532,8424.3,3641.5,587.7,1260.424467
987.4153495,1260.56535,2.338214295,6.131327603,9006.1,3851.7,628.2,1248.148209
987.4153495,1260.56535,2.29430542,6.120650314,9846.7,4291.8,701.2,1270.06293
987.4153495,1260.56535,2.282357553,6.25245098,9897.9,4336.7,693.6,1276.16989
987.4153495,1260.56535,2.335648148,6.192847442,9585.5,4104,662.7,1249.406523
987.4153495,1260.56535,2.343895453,6.093501636,9165.1,3910.2,641.7,1245.372163
1063.199997,1336.349997,2.176525822,6.211253915,12517.2,5751,925.9,1333.078632
1063.199997,1336.349997,2.176271478,6.124381774,12665.9,5820,950.3,1333.221669
1063.199997,1336.349997,2.163047988,6.173087184,12512.8,5784.8,937.1,1340.700783
1063.199997,1336.349997,2.157644183,6.221037104,11829.5,5482.6,881.3,1343.781255
1063.199997,1336.349997,2.165138575,6.248790059,10343.3,4777.2,764.5,1339.512794
1063.199997,1336.349997,2.161138382,6.254176072,11975.3,5541.2,886,1341.787761
