Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
756.9985475,1030.148547,2.514645609,6.794988043,6859.4,2727.78,401.44,1150.163477
756.9985475,1030.148547,2.565580804,6.896143644,6936.92,2703.84,392.08,1133.429549
756.9985475,1030.148547,2.558760063,6.827918398,7399.32,2891.76,423.52,1135.67052
756.9985475,1030.148547,2.491518829,6.795653611,8196.2,3289.64,484.08,1157.780374
756.9985475,1030.148547,2.462840722,6.710731153,7559,3069.22,457.36,1167.265901
756.9985475,1030.148547,2.57389535,6.536484543,7488.8,2909.52,445.12,1130.696352
756.9985475,1030.148547,2.494003486,6.74735597,9674.04,3878.92,574.88,1156.960885
756.9985475,1030.148547,2.501581034,6.787340669,6234.04,2492.04,367.16,1154.46353
756.9985475,1030.148547,2.573823157,6.762509296,6553.52,2546.22,376.52,1130.720092
756.9985475,1030.148547,2.532573264,6.755803862,6308.64,2491,368.72,1144.271135
756.9985475,1030.148547,2.540919606,6.786697702,6964,2740.74,403.84,1141.529787
756.9985475,1030.148547,2.555719954,6.804016829,6943.84,2716.98,399.32,1136.669119
756.9985475,1030.148547,2.515313335,6.758241261,7508.16,2984.98,441.68,1149.943866
756.9985475,1030.148547,2.479954124,6.775484626,8043.88,3243.56,478.72,1161.599147
756.9985475,1030.148547,2.496852707,6.729985265,8211,3288.54,488.64,1156.021539
756.9985475,1030.148547,2.58073596,6.58618195,7518.2,2913.2,442.32,1128.446045
756.9985475,1030.148547,2.484660202,6.824743004,9501.44,3824.04,560.32,1160.044219
756.9985475,1030.148547,2.517648891,6.815330189,5820.2,2311.76,339.2,1149.175822
756.9985475,1030.148547,2.529672608,6.929312021,6492,2566.34,370.36,1145.224048
756.9985475,1030.148547,2.520707658,6.810214711,6460.12,2562.82,376.32,1148.170186
807.3801884,1080.530188,2.388451914,6.864680546,6395.08,2677.5,390.04,1192.206537
807.3801884,1080.530188,2.382068263,6.724665099,6265.84,2630.42,391.16,1194.37604
807.3801884,1080.530188,2.395550167,6.772906262,6757.32,2820.78,416.48,1189.800297
807.3801884,1080.530188,2.390207964,6.646821306,7397.12,3094.76,465.6,1191.61066
807.3801884,1080.530188,2.375785201,6.747273812,7526.44,3167.98,469.52,1196.516611
807.3801884,1080.530188,2.477520195,6.542708333,7158.2,2889.26,441.6,1162.403877
807.3801884,1080.530188,2.382650633,6.756538517,9011.28,3782.04,559.76,1194.177899
807.3801884,1080.530188,2.400095097,6.66344368,5855.32,2439.62,366.12,1188.262898
807.3801884,1080.530188,2.407730159,6.658915548,6067.48,2520,378.44,1185.685798
807.3801884,1080.530188,2.402389289,6.624549722,5831.8,2427.5,366.44,1187.4878
807.3801884,1080.530188,2.424984297,6.750731954,6485.96,2674.64,396.2,1179.886367
807.3801884,1080.530188,2.439494416,6.751495792,6496.52,2663.06,394.44,1175.033448
807.3801884,1080.530188,2.412726228,6.789092986,6884.28,2853.32,420.28,1184.003127
807.3801884,1080.530188,2.363579052,6.727014419,7498.36,3172.46,471.6,1200.690565
807.3801884,1080.530188,2.355351983,6.794495885,7466.56,3170.04,466.56,1203.515799
807.3801884,1080.530188,2.431752016,6.581885856,6966.24,2864.7,435.24,1177.620293
807.3801884,1080.530188,2.385608658,6.650513113,8905,3732.8,561.28,1193.172171
807.3801884,1080.530188,2.382704352,6.718092567,5934.84,2490.8,370.76,1194.159625
807.3801884,1080.530188,2.385965469,6.657088527,6014.16,2520.64,378.64,1193.050933
807.3801884,1080.530188,2.389998252,6.622877619,5742.64,2402.78,362.8,1191.6818
851.9523334,1125.102333,2.330841353,6.634993956,7164.68,3073.86,463.28,1211.993354
851.9523334,1125.102333,2.313844069,6.690675791,7239,3128.56,467.6,1217.928589
851.9523334,1125.102333,2.290264759,6.794058331,8024.08,3503.56,515.68,1226.244122
851.9523334,1125.102333,2.283661294,6.72456594,8314.08,3640.68,541.4,1228.590803
851.9523334,1125.102333,2.292211125,6.84842453,7413.24,3234.1,472.24,1225.553965
851.9523334,1125.102333,2.338049898,6.534320893,7941.28,3396.54,519.8,1209.490428
851.9523334,1125.102333,2.26536591,6.599476774,9372,4137.08,626.88,1235.135234
851.9523334,1125.102333,2.310406061,6.698964359,6635.44,2871.98,428.72,1219.134991
851.9523334,1125.102333,2.296901332,6.782191907,6760.24,2943.2,433.96,1223.893691
851.9523334,1125.102333,2.294334048,6.608862559,6398.76,2788.94,422,1224.801986
851.9523334,1125.102333,2.32018435,6.812975411,7148.72,3081.1,452.24,1215.709034
851.9523334,1125.102333,2.313675988,6.67828228,7404.92,3200.5,479.24,1217.987522
851.9523334,1125.102333,2.274553461,6.799992505,8254.4,3629.02,533.68,1231.840789
851.9523334,1125.102333,2.282767101,6.671122588,8020,3513.28,526.64,1228.909193
851.9523334,1125.102333,2.31377057,6.760964101,6762.92,2922.9,432.32,1217.954359
851.9523334,1125.102333,2.331036017,6.535244145,7961.84,3415.58,522.64,1211.925654
851.9523334,1125.102333,2.26512753,6.638127712,9701.36,4282.92,645.2,1235.220929
851.9523334,1125.102333,2.272085955,6.766935257,6563.92,2888.94,426.92,1232.723984
851.9523334,1125.102333,2.309789074,6.70646426,6796,2942.26,438.72,1219.351707
851.9523334,1125.102333,2.299232881,6.732158171,6498,2826.16,419.8,1223.069821
895.3088745,1168.458874,2.20257141,6.644489247,7404.12,3361.58,505.92,1258.11417
895.3088745,1168.458874,2.199220219,6.60005517,7366.64,3349.66,507.52,1259.364639
895.3088745,1168.458874,2.218832586,6.601969159,8093.68,3647.72,552.52,1252.082504
895.3088745,1168.458874,2.165043506,6.624537282,8678.88,4008.64,605.12,1272.268861
895.3088745,1168.458874,2.190855653,6.690299799,8467.92,3865.12,577.72,1262.49714
895.3088745,1168.458874,2.23357955,6.518248175,8297.48,3714.88,569.92,1246.662774
895.3088745,1168.458874,2.181629109,6.520383626,10174.9,4663.9,715.28,1265.971538
895.3088745,1168.458874,2.19977851,6.625373262,6833.04,3106.24,468.84,1259.156138
895.3088745,1168.458874,2.203558272,6.752782392,7166.28,3252.14,481.6,1257.74642
895.3088745,1168.458874,2.210099747,6.618036586,7068.12,3198.1,483.24,1255.314359
895.3088745,1168.458874,2.250724256,6.57127124,7520.48,3341.36,508.48,1240.419619
895.3088745,1168.458874,2.236389942,6.646507192,7481.44,3345.32,503.32,1245.635189
